CÓDIGO - ALUMNO,EDAD,SEXO,NACIONALIDAD,POBLACIÓN,TIEMPO DE ESTUDIO,ACTIVIDADES EXTRACADÉMICAS,TAMAÑO DE LA FAMILIA,TIPO DE VIVIENDA,ENCARGADO DEL MENOR,ESTADO CIVIL - PADRE,EDUCACIÓN - PADRE,TRABAJO - PADRE,NACIONALIDAD - PADRE,VIVE CON EL ESTUDIANTE - PADRE,ESTADO CIVIL - MADRE,EDUCACIÓN - MADRE,TRABAJO - MADRE,NACIONALIDAD - MADRE,VIVE CON EL ESTUDIANTE - MADRE,GRADO,AÑO LECTIVO,ÁREA,COMPETENCIA,NOTA,AÑO,ENFERMEDADES,TIENE NECESIDADES ESPECIALES
A00001,6,Masculino,PERU,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,PERSONAL SOCIAL,COM0001,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,PERSONAL SOCIAL,COM0002,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,PERSONAL SOCIAL,COM0003,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,PERSONAL SOCIAL,COM0004,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,PERSONAL SOCIAL,COM0005,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,EDUCACIÓN FÍSICA,COM0006,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,EDUCACIÓN FÍSICA,COM0007,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,EDUCACIÓN FÍSICA,COM0008,A,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,ARTE Y CULTURA,COM0009,AD,2016,Ninguna,NO
A00001,6,Masculino,PERÚ,Urbano,6 - 8 horas,Ninguno,1 - 4,Unifamiliar,Madre,Casado,Educación Universitaria,Mecánica y Metales,PERÚ,SI,Casado,Educación Universitaria,Administración y Comercio,PERÚ,SI,PRIMARIA,PRIMER GRADO,ARTE Y CULTURA,COM0010,AD,2016,Ninguna,NO
